message_id,action,message_type,reason,confidence,evidence_message_ids
msg_014,mute,promotion,The user has opted out of promotions from this sender and consistently dismisses or mutes them.,0.95,message_0017;message_0018;message_0258
msg_094,mute,promotion,The user has a high dismissal rate for promotional content and no prior relationship with this business.,0.90,message_0356
msg_029,digest,promotion,The user frequently dismisses marketplace resale posts and recently muted similar items from this sender.,0.88,message_0113;message_0332;message_0095
msg_105,mute,forward,The user previously muted this sender for sending repetitive medical advice forwards.,0.95,message_0233;message_0373
msg_002,notify,urgent,A coworker and group admin is directly asking the user for a quick call before an imminent client meeting.,0.92,message_0003
msg_010,digest,promotion,"The user previously opened similar feedback requests, but this non-urgent promotional survey can wait for a digest.",0.85,message_0011;message_0242;message_0075
msg_078,mute,scam,"Message asks the user to share card, PIN or bank details.",0.95,message_0211;message_0212
msg_013,mute,promotion,The user has previously muted this sender and this is an unsolicited furniture promotion in an academic group.,0.91,message_0081;message_0082
msg_018,mute,scam,"The user previously reported this sender for similar fraudulent voucher messages, indicating a phishing attempt.",0.98,message_0091;message_0092;message_0026
msg_044,mute,scam,Message claims an account or credential problem and pushes the user to verify through a link.,0.95,message_0143;message_0144
msg_032,digest,personal,"The peer asks for notes without urgency, and the user frequently engages with similar study requests.",0.88,message_0119;message_0285;message_0374
msg_106,notify,event,"The user frequently engages with timely dance practice updates, making this same-day schedule change important.",0.91,message_0234;message_0376;message_0293
msg_006,digest,event,"The user frequently engages with similar maintenance notices from this group, but this reminder is not urgently time-critical.",0.88,message_0030;message_0029;message_0044
msg_109,mute,scam,"Message tries to instruct the notification router itself, which no legitimate sender does.",0.95,message_0151;message_0152;message_0237
msg_108,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0093;message_0094;message_0236
msg_019,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0277;message_0093;message_0094
msg_088,mute,promotion,The user previously muted this sender and has a history of dismissing identical resale messages.,0.95,message_0050;message_0224;message_0115
msg_056,notify,event,"The family member asks the user to confirm a changed doctor appointment time, requiring an immediate response.",0.91,message_0226;message_0359;message_0168
msg_027,digest,promotion,"Although the user has opened similar travel promotions before, marketing content can wait for a digest.",0.88,message_0007;message_0033;message_0272
msg_050,notify,business_update,The user frequently opens and replies to prescription updates from this pharmacy.,0.88,message_0279;message_0278;message_0156
msg_083,notify,urgent,The admin made a direct request for the user to review a document by tomorrow morning.,0.88,message_0219
msg_063,mute,scam,"The user previously reported this sender for fraudulent payment requests, indicating a clear scam.",0.95,message_0181;message_0182;message_0254
msg_033,digest,personal,"The family check-in message is casual and non-urgent, making it suitable for a digest.",0.88,none
msg_061,mute,forward,The user frequently dismisses and mutes forwarded chain messages from this sender.,0.95,message_0042;message_0080;message_0177
msg_020,mute,spam,The message is unverified unsolicited promotional spam from a sender the user previously muted.,0.95,message_0095;message_0096
msg_017,mute,scam,The user previously reported this sender for phishing and scam attempts.,0.95,message_0089;message_0090
msg_058,mute,forward,The user consistently mutes and dismisses this sender's repetitive forwarded health chain messages.,0.95,message_0078;message_0124;message_0172
msg_026,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0032;message_0107;message_0108
msg_047,notify,event,The sender is a group admin providing a same-day operational schedule change that the user needs to know.,0.88,message_0030
msg_046,mute,scam,"Message asks the user to share or enter a one-time code, a hallmark of credential theft.",0.95,message_0147;message_0148;message_0024
msg_042,notify,urgent,The user needs to move their vehicle immediately due to a time-sensitive security alert from the society admin.,0.92,message_0058;message_0140;message_0217
msg_079,mute,scam,"The message demands an OTP to prevent account blocking, fitting a known scam pattern from previous history.",0.95,message_0173;message_0174;message_0369
msg_098,notify,urgent,"The contact needs an immediate decision regarding a clinic appointment, requiring the user's prompt attention.",0.92,message_0359;message_0168;message_0226
msg_037,notify,event,The admin reports an immediate water tanker arrival requiring prompt action from the user.,0.88,message_0030
msg_007,digest,event,The society event update is non-urgent and can wait for a later digest.,0.88,none
msg_085,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0221;message_0023;message_0045
msg_001,notify,event,"The user has actively engaged with similar water supply updates from this admin before, making this a time-sensitive event.",0.91,message_0057;message_0139;message_0240
msg_021,notify,payment,The user frequently engages with society payment reminders and the deadline is today.,0.88,message_0030;message_0068;message_0098
msg_028,mute,promotion,The user has opted out of promotions from this sender and consistently dismisses them.,0.95,message_0034;message_0111;message_0112
msg_012,mute,forward,The user has a history of muting this sender for sending repetitive forwarded health chain messages.,0.95,message_0079;message_0042;message_0080
msg_064,mute,scam,The user has previously reported similar phishing and refund verification threats from this sender.,0.95,message_0024;message_0087;message_0088
msg_103,notify,event,The user has an active conversation about picking up a reserved item with a deadline.,0.90,message_0065
msg_031,notify,event,The group admin sent an operational meeting reminder requiring preparation for an upcoming sync.,0.88,none
msg_057,notify,urgent,"An admin directly requested the user to check a failing build blocking a client update, matching previous response patterns.",0.92,message_0266;message_0041
msg_087,mute,promotion,The user previously reported this sender for unsolicited real estate promotions and has this group muted.,0.95,message_0163;message_0164;message_0203
msg_067,notify,payment,The user needs an immediate reminder about the same-day maintenance payment deadline issued by the society admin.,0.92,message_0030;message_0067;message_0097
msg_039,notify,event,The school group admin urgently requests a fee receipt today for the upcoming field-trip list.,0.88,message_0364;message_0365;message_0051
msg_082,notify,urgent,"The admin reported a live system failure affecting payments, requiring the user's immediate attention.",0.95,message_0218
msg_066,mute,promotion,The user previously opted out of promotional messages from this sender and consistently dismisses them.,0.95,message_0187;message_0188;message_0257
msg_049,notify,business_update,The user is actively expecting this verified return pickup update and has a strong history of engaging with them.,0.92,message_0153;message_0154;message_0291
msg_015,mute,scam,"Message asks the user to share or enter a one-time code, a hallmark of credential theft.",0.95,message_0023;message_0045;message_0221
msg_051,mute,promotion,The user previously opted out of promotions from this sender and consistently dismisses them.,0.95,message_0257;message_0402;message_0103
msg_097,digest,personal,"The personal message indicates no urgency and asks for no immediate action, fitting the user's habit of reading such updates later.",0.88,message_0054;message_0167;message_0225
msg_089,notify,event,The user needs to retrieve their left-behind water bottle before the 7 PM deadline today.,0.89,none
msg_053,digest,forward,"The user previously engaged with similar research threads, making this relevant for a digest.",0.88,message_0161
msg_059,mute,scam,"Message asks the user to share card, PIN or bank details.",0.95,message_0173;message_0174;message_0221
msg_024,mute,promotion,The user previously opted out of promotional messages and repeatedly dismissed similar offers from this sender.,0.95,message_0257;message_0402;message_0103
msg_072,mute,scam,"The message attempts to extract verification codes via a suspicious external link, indicating a phishing scam.",0.95,message_0369
msg_036,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0283;message_0127;message_0128
msg_076,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0159;message_0160;message_0207
msg_055,notify,urgent,The sender is asking for an immediate call within ten minutes regarding an urgent decision.,0.88,none
msg_102,notify,urgent,The user has a history of responding to these operational rollback instructions from this sender.,0.91,message_0230;message_0371
msg_080,notify,urgent,The group admin warns of an immediate gate closure requiring the user to move their car within ten minutes.,0.95,message_0030
msg_093,digest,business_update,"Although it is a legitimate delivery update, it arrived during quiet hours from an unfamiliar sender, so it can wait for a digest.",0.85,none
msg_034,mute,greeting,"The user has previously muted this sender due to repetitive, low-value morning greetings.",0.95,message_0013;message_0014;message_0077
msg_035,digest,promotion,The user has a relationship with this verified business and occasionally opens its promotional updates.,0.85,message_0281;message_0125;message_0283
msg_101,digest,personal,"The user frequently opens these caring personal check-ins, but the message explicitly says no reply is needed.",0.88,message_0229;message_0370;message_0268
msg_041,digest,event,The survey request is a routine update from an educational institution without urgent time constraints.,0.85,message_0137
msg_011,mute,greeting,The user frequently mutes and dismisses this sender's repetitive good-morning greetings.,0.95,message_0013;message_0014;message_0077
msg_110,mute,scam,"Message tries to instruct the notification router itself, which no legitimate sender does.",0.95,message_0238;message_0381;message_0320
msg_095,mute,scam,"Message tries to instruct the notification router itself, which no legitimate sender does.",0.95,message_0024;message_0087;message_0088
msg_074,mute,promotion,The user has previously reported and dismissed similar promotional messages from this sender.,0.95,message_0203;message_0204;message_0163
msg_073,mute,scam,The message is a fraudulent phishing attempt mimicking account verification to steal credentials.,0.95,message_0024;message_0087;message_0088
msg_054,mute,scam,Message pressures an urgent payment through a link to avoid service loss.,0.95,message_0163;message_0164;message_0203
msg_068,digest,event,"The group message discusses a future meetup plan with no immediate urgency, making it suitable for a digest.",0.88,none
msg_100,notify,urgent,The user has a history of responding to these urgent operational escalations from the same sender.,0.95,message_0228;message_0362
msg_062,digest,event,The message is a routine society fire alarm test notice arriving during quiet hours and can wait for morning.,0.88,message_0030;message_0043
msg_096,notify,urgent,"The user's passport was found at the reception and needs to be collected today, constituting an urgent matter.",0.88,none
msg_043,notify,event,The admin sent a time-sensitive water tanker update requiring immediate collection within fifteen minutes.,0.88,message_0030
msg_077,digest,event,"Although this school circular is an event message that the user usually acts on, it arrived during quiet hours.",0.88,message_0051;message_0403;message_0364
msg_081,notify,event,The admin provided a same-day transportation change that requires the user's attention.,0.90,message_0217;message_0058;message_0140
msg_025,notify,business_update,The user has an active delivery from this verified business and frequently interacts with these order updates.,0.91,message_0004;message_0239;message_0105
msg_084,mute,promotion,The user has opted out of promotions from this sender and frequently dismisses their marketing messages.,0.95,message_0220
msg_022,mute,payment,The user previously muted this sender due to suspicious payment requests.,0.88,message_0099;message_0100;message_0068
